id,question,code,updated_code,difficulty_level
136,Write a function to calculate electricity bill.,"def cal_electbill(units):
 if(units < 50):
    amount = units * 2.60
    surcharge = 25
 elif(units <= 100):
    amount = 130 + ((units - 50) * 3.25)
    surcharge = 35
 elif(units <= 200):
    amount = 130 + 162.50 + ((units - 100) * 5.26)
    surcharge = 45
 else:
    amount = 130 + 162.50 + 526 + ((units - 200) * 8.45)
    surcharge = 75
 total = amount + surcharge
 return total","def Func1(var1):
    if(var1 < CONST1):
        var2 = var1 * CONST2
        var3 = CONST3
    elif(var1 <= CONST4):
        var2 = CONST5 + ((var1 - CONST6) * CONST7)
        var3 = CONST8
    elif(var1 <= CONST9):
        var2 = CONST5 + CONST10 + ((var1 - CONST11) * CONST12)
        var3 = CONST13
    else:
        var2 = CONST5 + CONST10 + CONST14 + ((var1 - CONST15) * CONST16)
        var3 = CONST17
    var4 = var2 + var3
    return var4
",easy
159,Write a function to print the season for the given month and day.,"def month_season(month,days):
 if month in ('January', 'February', 'March'):
	 season = 'winter'
 elif month in ('April', 'May', 'June'):
	 season = 'spring'
 elif month in ('July', 'August', 'September'):
	 season = 'summer'
 else:
	 season = 'autumn'
 if (month == 'March') and (days > 19):
	 season = 'spring'
 elif (month == 'June') and (days > 20):
	 season = 'summer'
 elif (month == 'September') and (days > 21):
	 season = 'autumn'
 elif (month == 'October') and (days > 21):
	 season = 'autumn'
 elif (month == 'November') and (days > 21):
	 season = 'autumn'
 elif (month == 'December') and (days > 20):
	 season = 'winter'
 return season","def Func1(str1, var1):
    if str1 in ('January', 'February', 'March'):
        var2 = 'winter'
    elif str1 in ('April', 'May', 'June'):
        var2 = 'spring'
    elif str1 in ('July', 'August', 'September'):
        var2 = 'summer'
    else:
        var2 = 'autumn'
    if (str1 == 'March') and (var1 > 19):
        var2 = 'spring'
    elif (str1 == 'June') and (var1 > 20):
        var2 = 'summer'
    elif (str1 == 'September') and (var1 > 21):
        var2 = 'autumn'
    elif (str1 == 'October') and (var1 > 21):
        var2 = 'autumn'
    elif (str1 == 'November') and (var1 > 21):
        var2 = 'autumn'
    elif (str1 == 'December') and (var1 > 20):
        var2 = 'winter'
    return var2
",easy
172,Write a function to find the occurence of characters 'std' in the given string,"def count_occurance(s):
  count=0
  for i in range(len(s)):
    if (s[i]== 's' and s[i+1]=='t' and s[i+2]== 'd'):
      count = count + 1
  return count","def Func1(str1):
    var1 = 0
    for i1 in range(len(str1)):
        if (str1[i1] == 's' and str1[i1 + 1] == 't' and str1[i1 + 2] == 'd'):
            var1 = var1 + 1
    return var1
",easy
314,Write a function to find out the maximum sum such that no two chosen numbers are adjacent for the given rectangular grid of dimension 2 x n.,"def max_sum_rectangular_grid(grid, n) : 
	incl = max(grid[0][0], grid[1][0]) 
	excl = 0
	for i in range(1, n) : 
		excl_new = max(excl, incl) 
		incl = excl + max(grid[0][i], grid[1][i]) 
		excl = excl_new 
	return max(excl, incl)","def Func1(arr1, CONST1):
    var1 = max(arr1[0][0], arr1[1][0])
    var2 = 0
    for i1 in range(1, CONST1):
        var3 = max(var2, var1)
        var1 = var2 + max(arr1[0][i1], arr1[1][i1])
        var2 = var3
    return max(var2, var1)
",easy
344,Write a python function to find number of elements with odd factors in a given range.,"def count_Odd_Squares(n,m): 
    return int(m**0.5) - int((n-1)**0.5) ","def Func(var1, var2):
    return int(var2**0.5) - int((var1 - 1)**0.5)
",easy
427,Write a function to convert a date of yyyy-mm-dd format to dd-mm-yyyy format by using regex.,"import re
def change_date_format(dt):
        return re.sub(r'(\d{4})-(\d{1,2})-(\d{1,2})', '\\3-\\2-\\1', dt)","import re
def Func1(str1):
        return re.sub(r'(\d{4})-(\d{1,2})-(\d{1,2})', '\\3-\\2-\\1', str1)
",easy
485,Write a function to find the largest palindromic number in the given array.,"def is_palindrome(n) : 
	divisor = 1
	while (n / divisor >= 10) : 
		divisor *= 10
	while (n != 0) : 
		leading = n // divisor 
		trailing = n % 10
		if (leading != trailing) : 
			return False
		n = (n % divisor) // 10
		divisor = divisor // 100
	return True
def largest_palindrome(A, n) : 
	A.sort() 
	for i in range(n - 1, -1, -1) : 
		if (is_palindrome(A[i])) : 
			return A[i] 
	return -1","def Func1(var1) : 
	var2 = 1
	while (var1 / var2 >= 10) : 
		var2 *= 10
	while (var1 != 0) : 
		var3 = var1 // var2 
		var4 = var1 % 10
		if (var3 != var4) : 
			return False
		var1 = (var1 % var2) // 10
		var2 = var2 // 100
	return True

def Func2(arr1, var5) : 
	arr1.sort() 
	for i1 in range(var5 - 1, -1, -1) : 
		if (Func1(arr1[i1])) : 
			return arr1[i1] 
	return -1
",easy
595,Write a python function to count minimum number of swaps required to convert one binary string to another.,"def min_Swaps(str1,str2) : 
    count = 0
    for i in range(len(str1)) :  
        if str1[i] != str2[i] : 
            count += 1
    if count % 2 == 0 : 
        return (count // 2) 
    else : 
        return (""Not Possible"") ","def Func1(str1, str2): 
    var1 = 0
    for i1 in range(len(str1)):  
        if str1[i1] != str2[i1]: 
            var1 += 1
    if var1 % 2 == 0: 
        return (var1 // 2) 
    else: 
        return (""Not Possible"")
",easy
617,"Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.","def min_Jumps(a, b, d): 
    temp = a 
    a = min(a, b) 
    b = max(temp, b) 
    if (d >= b): 
        return (d + b - 1) / b 
    if (d == 0): 
        return 0
    if (d == a): 
        return 1
    else:
        return 2","def Func1(var1, var2, var3): 
    var4 = var1 
    var1 = min(var1, var2) 
    var2 = max(var4, var2) 
    if (var3 >= var2): 
        return (var3 + var2 - 1) / var2 
    if (var3 == 0): 
        return 0
    if (var3 == var1): 
        return 1
    else:
        return 2
",easy
648,Write a function to exchange the position of every n-th value with (n+1)th value and (n+1)th value with n-th value in a given list.,"from itertools import zip_longest, chain, tee
def exchange_elements(lst):
    lst1, lst2 = tee(iter(lst), 2)
    return list(chain.from_iterable(zip_longest(lst[1::2], lst[::2])))","from itertools import zip_longest, chain, tee

def Func1(list1):
    list2, list3 = tee(iter(list1), 2)
    return list(chain.from_iterable(zip_longest(list1[1::2], list1[::2])))
",easy
685,Write a python function to find sum of prime numbers between 1 to n.,"def sum_Of_Primes(n): 
    prime = [True] * (n + 1)  
    p = 2
    while p * p <= n: 
        if prime[p] == True:  
            i = p * 2
            while i <= n: 
                prime[i] = False
                i += p 
        p += 1    
    sum = 0
    for i in range (2,n + 1): 
        if(prime[i]): 
            sum += i 
    return sum","def Func1(var1): 
    arr1 = [True] * (var1 + 1)  
    var2 = 2
    while var2 * var2 <= var1: 
        if arr1[var2] == True:  
            i1 = var2 * 2
            while i1 <= var1: 
                arr1[i1] = False
                i1 += var2 
        var2 += 1    
    var3 = 0
    for i2 in range(2, var1 + 1): 
        if(arr1[i2]): 
            var3 += i2 
    return var3
",easy
697,Write a function to find number of even elements in the given list using lambda function.,"def count_even(array_nums):
   count_even = len(list(filter(lambda x: (x%2 == 0) , array_nums)))
   return count_even","def Func1(arr1):
    var1 = len(list(filter(lambda var2: (var2 % 2 == 0), arr1)))
    return var1
",easy
702,Write a function to find the minimum number of elements that should be removed such that amax-amin<=k.,"def find_ind(key, i, n, 
			k, arr):
	ind = -1
	start = i + 1
	end = n - 1;
	while (start < end):
		mid = int(start +
				(end - start) / 2)
		if (arr[mid] - key <= k):
			ind = mid
			start = mid + 1
		else:
			end = mid
	return ind
def removals(arr, n, k):
	ans = n - 1
	arr.sort()
	for i in range(0, n):
		j = find_ind(arr[i], i, 
					n, k, arr)
		if (j != -1):
			ans = min(ans, n -
						(j - i + 1))
	return ans","def Func1(var1, i1, var2, var3, arr1):
    var4 = -1
    var5 = i1 + 1
    var6 = var2 - 1
    while (var5 < var6):
        var7 = int(var5 + (var6 - var5) / 2)
        if (arr1[var7] - var1 <= var3):
            var4 = var7
            var5 = var7 + 1
        else:
            var6 = var7
    return var4

def Func2(arr1, var2, var3):
    var1 = var2 - 1
    arr1.sort()
    for i1 in range(0, var2):
        i2 = Func1(arr1[i1], i1, var2, var3, arr1)
        if (i2 != -1):
            var1 = min(var1, var2 - (i2 - i1 + 1))
    return var1
",easy
707,Write a python function to count the total set bits from 1 to n.,"def count_Set_Bits(n) :  
    n += 1; 
    powerOf2 = 2;   
    cnt = n // 2;  
    while (powerOf2 <= n) : 
        totalPairs = n // powerOf2;  
        cnt += (totalPairs // 2) * powerOf2;  
        if (totalPairs & 1) : 
            cnt += (n % powerOf2) 
        else : 
            cnt += 0
        powerOf2 <<= 1;    
    return cnt;  ","def Func1(var1):  
    var1 += 1
    var2 = 2   
    var3 = var1 // 2  
    while (var2 <= var1): 
        var4 = var1 // var2  
        var3 += (var4 // 2) * var2  
        if (var4 & 1): 
            var3 += (var1 % var2) 
        else: 
            var3 += 0
        var2 <<= 1    
    return var3
",easy
711,Write a python function to check whether the product of digits of a number at even and odd places is equal or not.,"def product_Equal(n): 
    if n < 10: 
        return False
    prodOdd = 1; prodEven = 1
    while n > 0: 
        digit = n % 10
        prodOdd *= digit 
        n = n//10
        if n == 0: 
            break; 
        digit = n % 10
        prodEven *= digit 
        n = n//10
    if prodOdd == prodEven: 
        return True
    return False","def Func1(var1): 
    if var1 < 10: 
        return False
    var2 = 1
    var3 = 1
    while var1 > 0: 
        var4 = var1 % 10
        var2 *= var4
        var1 = var1 // 10
        if var1 == 0: 
            break
        var4 = var1 % 10
        var3 *= var4
        var1 = var1 // 10
    if var2 == var3: 
        return True
    return False
",easy
733,Write a function to find the index of the first occurrence of a given number in a sorted array.,"def find_first_occurrence(A, x):
    (left, right) = (0, len(A) - 1)
    result = -1
    while left <= right:
        mid = (left + right) // 2
        if x == A[mid]:
            result = mid
            right = mid - 1
        elif x < A[mid]:
            right = mid - 1
        else:
            left = mid + 1
    return result","def Func1(arr1, var1):
    (var2, var3) = (0, len(arr1) - 1)
    var4 = -1
    while var2 <= var3:
        var5 = (var2 + var3) // 2
        if var1 == arr1[var5]:
            var4 = var5
            var3 = var5 - 1
        elif var1 < arr1[var5]:
            var3 = var5 - 1
        else:
            var2 = var5 + 1
    return var4
",easy
793,Write a python function to find the last position of an element in a sorted array.,"def last(arr,x,n):
    low = 0
    high = n - 1
    res = -1  
    while (low <= high):
        mid = (low + high) // 2 
        if arr[mid] > x:
            high = mid - 1
        elif arr[mid] < x:
            low = mid + 1
        else:
            res = mid
            low = mid + 1
    return res","def Func1(arr1, var1, var2):
    var3 = 0
    var4 = var2 - 1
    var5 = -1  
    while var3 <= var4:
        var6 = (var3 + var4) // 2 
        if arr1[var6] > var1:
            var4 = var6 - 1
        elif arr1[var6] < var1:
            var3 = var6 + 1
        else:
            var5 = var6
            var3 = var6 + 1
    return var5
",easy
817,Write a function to find numbers divisible by m or n from a list of numbers using lambda function.,"def div_of_nums(nums,m,n):
 result = list(filter(lambda x: (x % m == 0 or x % n == 0), nums)) 
 return result","def Func1(arr1, var1, var2):
    list1 = list(filter(lambda i1: (i1 % var1 == 0 or i1 % var2 == 0), arr1))
    return list1
",easy
819,Write a function to count the frequency of consecutive duplicate elements in a given list of numbers.,"def count_duplic(lists):
    element = []
    frequency = []
    if not lists:
        return element
    running_count = 1
    for i in range(len(lists)-1):
        if lists[i] == lists[i+1]:
            running_count += 1
        else:
            frequency.append(running_count)
            element.append(lists[i])
            running_count = 1
    frequency.append(running_count)
    element.append(lists[i+1])
    return element,frequency
","def Func1(list1):
    list2 = []
    list3 = []
    if not list1:
        return list2
    var1 = 1
    for i1 in range(len(list1) - 1):
        if list1[i1] == list1[i1 + 1]:
            var1 += 1
        else:
            list3.append(var1)
            list2.append(list1[i1])
            var1 = 1
    list3.append(var1)
    list2.append(list1[i1 + 1])
    return list2, list3
",easy
822,Write a function to return true if the password is valid.,"import re
def pass_validity(p):
 x = True
 while x:  
    if (len(p)<6 or len(p)>12):
        break
    elif not re.search(""[a-z]"",p):
        break
    elif not re.search(""[0-9]"",p):
        break
    elif not re.search(""[A-Z]"",p):
        break
    elif not re.search(""[$#@]"",p):
        break
    elif re.search(""\s"",p):
        break
    else:
        return True
        x=False
        break

 if x:
    return False","import re
def Func1(str1):
    var1 = True
    while var1:
        if (len(str1) < 6 or len(str1) > 12):
            break
        elif not re.search(""[a-z]"", str1):
            break
        elif not re.search(""[0-9]"", str1):
            break
        elif not re.search(""[A-Z]"", str1):
            break
        elif not re.search(""[$#@]"", str1):
            break
        elif re.search(""\s"", str1):
            break
        else:
            return True
            var1 = False
            break

    if var1:
        return False
",easy
836,Write a function to find length of the subarray having maximum sum.,"from sys import maxsize 
def max_sub_array_sum(a,size): 
	max_so_far = -maxsize - 1
	max_ending_here = 0
	start = 0
	end = 0
	s = 0
	for i in range(0,size): 
		max_ending_here += a[i] 
		if max_so_far < max_ending_here: 
			max_so_far = max_ending_here 
			start = s 
			end = i 
		if max_ending_here < 0: 
			max_ending_here = 0
			s = i+1
	return (end - start + 1)","from sys import maxsize

def Func1(arr1, var1):
    var2 = -maxsize - 1
    var3 = 0
    var4 = 0
    var5 = 0
    var6 = 0
    for i1 in range(0, var1):
        var3 += arr1[i1]
        if var2 < var3:
            var2 = var3
            var4 = var6
            var5 = i1
        if var3 < 0:
            var3 = 0
            var6 = i1 + 1
    return (var5 - var4 + 1)
",easy
846,Write a function to find the minimum number of platforms required for a railway/bus station.,"def find_platform(arr, dep, n): 
    arr.sort() 
    dep.sort() 
    plat_needed = 1
    result = 1
    i = 1
    j = 0
    while (i < n and j < n): 
        if (arr[i] <= dep[j]):           
            plat_needed+= 1
            i+= 1
        elif (arr[i] > dep[j]):           
            plat_needed-= 1
            j+= 1
        if (plat_needed > result):  
            result = plat_needed           
    return result","def Func1(arr1, arr2, var1): 
    arr1.sort() 
    arr2.sort() 
    var2 = 1
    var3 = 1
    i1 = 1
    i2 = 0
    while (i1 < var1 and i2 < var1): 
        if (arr1[i1] <= arr2[i2]):           
            var2 += 1
            i1 += 1
        elif (arr1[i1] > arr2[i2]):           
            var2 -= 1
            i2 += 1
        if (var2 > var3):  
            var3 = var2           
    return var3
",easy
849,Write a python function to find sum of all prime divisors of a given number.,"def Sum(N): 
    SumOfPrimeDivisors = [0]*(N + 1)   
    for i in range(2,N + 1) : 
        if (SumOfPrimeDivisors[i] == 0) : 
            for j in range(i,N + 1,i) : 
                SumOfPrimeDivisors[j] += i           
    return SumOfPrimeDivisors[N] ","def Func1(var1): 
    arr1 = [0] * (var1 + 1)   
    for i1 in range(2, var1 + 1): 
        if arr1[i1] == 0: 
            for i2 in range(i1, var1 + 1, i1): 
                arr1[i2] += i1           
    return arr1[var1]
",easy
853,Write a python function to find sum of odd factors of a number.,"import math
def sum_of_odd_Factors(n): 
    res = 1
    while n % 2 == 0: 
        n = n // 2 
    for i in range(3,int(math.sqrt(n) + 1)): 
        count = 0
        curr_sum = 1
        curr_term = 1
        while n % i == 0: 
            count+=1 
            n = n // i 
            curr_term *= i 
            curr_sum += curr_term    
        res *= curr_sum  
    if n >= 2: 
        res *= (1 + n) 
    return res ","import math

def Func1(var1): 
    var2 = 1
    while var1 % 2 == 0: 
        var1 = var1 // 2 
    for i1 in range(3, int(math.sqrt(var1) + 1)): 
        var3 = 0
        var4 = 1
        var5 = 1
        while var1 % i1 == 0: 
            var3 += 1 
            var1 = var1 // i1 
            var5 *= i1 
            var4 += var5    
        var2 *= var4  
    if var1 >= 2: 
        var2 *= (1 + var1) 
    return var2
",easy
855,Write a python function to check for even parity of a given number.,"def check_Even_Parity(x): 
    parity = 0
    while (x != 0): 
        x = x & (x - 1) 
        parity += 1
    if (parity % 2 == 0): 
        return True
    else: 
        return False","def Func1(var1): 
    var2 = 0
    while (var1 != 0): 
        var1 = var1 & (var1 - 1) 
        var2 += 1
    if (var2 % 2 == 0): 
        return True
    else: 
        return False
",easy
856,Write a python function to find minimum adjacent swaps required to sort binary array.,"def find_Min_Swaps(arr,n) : 
    noOfZeroes = [0] * n 
    count = 0 
    noOfZeroes[n - 1] = 1 - arr[n - 1] 
    for i in range(n-2,-1,-1) : 
        noOfZeroes[i] = noOfZeroes[i + 1] 
        if (arr[i] == 0) : 
            noOfZeroes[i] = noOfZeroes[i] + 1
    for i in range(0,n) : 
        if (arr[i] == 1) : 
            count = count + noOfZeroes[i] 
    return count ","def Func1(arr1, var1): 
    list1 = [0] * var1 
    var2 = 0 
    list1[var1 - 1] = 1 - arr1[var1 - 1] 
    for i1 in range(var1 - 2, -1, -1): 
        list1[i1] = list1[i1 + 1] 
        if (arr1[i1] == 0): 
            list1[i1] = list1[i1] + 1
    for i2 in range(0, var1): 
        if (arr1[i2] == 1): 
            var2 = var2 + list1[i2] 
    return var2
",easy
859,Write a function to generate all sublists of a given list.,"from itertools import combinations
def sub_lists(my_list):
	subs = []
	for i in range(0, len(my_list)+1):
	  temp = [list(x) for x in combinations(my_list, i)]
	  if len(temp)>0:
	    subs.extend(temp)
	return subs","from itertools import combinations

def Func1(list1):
	list2 = []
	for i1 in range(0, len(list1)+1):
		arr1 = [list(x) for x in combinations(list1, i1)]
		if len(arr1) > 0:
			list2.extend(arr1)
	return list2
",easy
863,Write a function to find the length of the longest sub-sequence such that elements in the subsequences are consecutive integers.,"def find_longest_conseq_subseq(arr, n): 
	ans = 0
	count = 0
	arr.sort() 
	v = [] 
	v.append(arr[0]) 
	for i in range(1, n): 
		if (arr[i] != arr[i - 1]): 
			v.append(arr[i]) 
	for i in range(len(v)): 
		if (i > 0 and v[i] == v[i - 1] + 1): 
			count += 1
		else: 
			count = 1
		ans = max(ans, count) 
	return ans ","def Func1(arr1, var1): 
	var2 = 0
	var3 = 0
	arr1.sort() 
	list1 = [] 
	list1.append(arr1[0]) 
	for i1 in range(1, var1): 
		if (arr1[i1] != arr1[i1 - 1]): 
			list1.append(arr1[i1]) 
	for i2 in range(len(list1)): 
		if (i2 > 0 and list1[i2] == list1[i2 - 1] + 1): 
			var3 += 1
		else: 
			var3 = 1
		var2 = max(var2, var3) 
	return var2
",easy
871,Write a python function to check whether the given strings are rotations of each other or not.,"def are_Rotations(string1,string2): 
    size1 = len(string1) 
    size2 = len(string2) 
    temp = '' 
    if size1 != size2: 
        return False
    temp = string1 + string1 
    if (temp.count(string2)> 0): 
        return True
    else: 
        return False","def Func1(str1, str2): 
    var1 = len(str1) 
    var2 = len(str2) 
    str3 = '' 
    if var1 != var2: 
        return False
    str3 = str1 + str1 
    if (str3.count(str2) > 0): 
        return True
    else: 
        return False",easy
901,Write a function to find the smallest multiple of the first n numbers.,"def smallest_multiple(n):
    if (n<=2):
      return n
    i = n * 2
    factors = [number  for number in range(n, 1, -1) if number * 2 > n]
    while True:
        for a in factors:
            if i % a != 0:
                i += n
                break
            if (a == factors[-1] and i % a == 0):
                return i","def Func1(var1):
    if (var1 <= 2):
        return var1
    var2 = var1 * 2
    list1 = [var3 for var3 in range(var1, 1, -1) if var3 * 2 > var1]
    while True:
        for i1 in list1:
            if var2 % i1 != 0:
                var2 += var1
                break
            if (i1 == list1[-1] and var2 % i1 == 0):
                return var2
",easy
903,Write a python function to count the total unset bits from 1 to n.,"def count_Unset_Bits(n) :  
    cnt = 0;  
    for i in range(1,n + 1) : 
        temp = i;  
        while (temp) :  
            if (temp % 2 == 0) : 
                cnt += 1;  
            temp = temp // 2;  
    return cnt;  ","def Func1(var3) :  
    var1 = 0  
    for i1 in range(1, var3 + 1) : 
        var2 = i1  
        while (var2) :  
            if (var2 % 2 == 0) : 
                var1 += 1  
            var2 = var2 // 2  
    return var1  
",easy
909,Write a function to find the previous palindrome of a specified number.,"def previous_palindrome(num):
    for x in range(num-1,0,-1):
        if str(x) == str(x)[::-1]:
            return x","def Func1(var1):
    for i1 in range(var1-1, 0, -1):
        if str(i1) == str(i1)[::-1]:
            return i1
",easy
1,"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].","R = 3
C = 3
def min_cost(cost, m, n): 
        tc = [[0 for x in range(C)] for x in range(R)] 
        tc[0][0] = cost[0][0] 
        for i in range(1, m+1): 
                tc[i][0] = tc[i-1][0] + cost[i][0] 
        for j in range(1, n+1): 
                tc[0][j] = tc[0][j-1] + cost[0][j] 
        for i in range(1, m+1): 
                for j in range(1, n+1): 
                        tc[i][j] = min(tc[i-1][j-1], tc[i-1][j], tc[i][j-1]) + cost[i][j] 
        return tc[m][n]","var1 = 3
var2 = 3

def Func1(arr1, var3, var4): 
    arr2 = [[0 for i1 in range(var2)] for i2 in range(var1)] 
    arr2[0][0] = arr1[0][0] 
    for i3 in range(1, var3 + 1): 
        arr2[i3][0] = arr2[i3 - 1][0] + arr1[i3][0] 
    for i4 in range(1, var4 + 1): 
        arr2[0][i4] = arr2[0][i4 - 1] + arr1[0][i4] 
    for i5 in range(1, var3 + 1): 
        for i6 in range(1, var4 + 1): 
            arr2[i5][i6] = min(arr2[i5 - 1][i6 - 1], arr2[i5 - 1][i6], arr2[i5][i6 - 1]) + arr1[i5][i6] 
    return arr2[var3][var4]
",hard
18,Write a function to remove characters from the first string which are present in the second string.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ","CONST1 = 256

def Func1(str1): 
	list1 = [] 
	for i1 in str1: 
		list1.append(i1) 
	return list1 

def Func2(list2): 
	return ''.join(list2) 

def Func3(str2): 
	arr1 = [0] * CONST1 
	for i2 in str2: 
		arr1[ord(i2)] += 1
	return arr1 

def Func4(str3, str4): 
	arr2 = Func3(str4) 
	var1 = 0
	var2 = 0
	str5 = '' 
	list3 = Func1(str3) 
	while var1 != len(list3): 
		str5 = list3[var1] 
		if arr2[ord(str5)] == 0: 
			list3[var2] = list3[var1] 
			var2 += 1
		var1 += 1
	return Func2(list3[0:var2])
",hard
28,Write a python function to find binomial co-efficient.,"def binomial_Coeff(n,k): 
    if k > n : 
       return 0
    if k==0 or k ==n : 
        return 1 
    return binomial_Coeff(n-1,k-1) + binomial_Coeff(n-1,k) ","def Func1(var1, var2): 
    if var2 > var1: 
        return 0
    if var2 == 0 or var2 == var1: 
        return 1 
    return Func1(var1 - 1, var2 - 1) + Func1(var1 - 1, var2)
",hard
